modality,guidance_bands,ckpt,lr_patch,lr_grid,out_grid,upsample_factor,batch_size,samples_per_s,ms_per_sample,step_s_median,step_s_mean,step_s_std,peak_mem_gb,gpu,params_m
s2,13,manyup_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,16,4,8,2,230,1706.5315626283902,0.585983887962673,0.1347762942314148,0.13484460059553385,0.00015965546403685373,3.235410690307617,NVIDIA L40S,0.88
s2,13,manyup_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,16,4,16,4,230,1686.3468632398453,0.5929978118966455,0.13638949673622847,0.13641488892026246,0.00012066589990274599,3.2566356658935547,NVIDIA L40S,0.88
s2,13,manyup_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,16,4,32,8,230,1577.617375319044,0.633867258084533,0.1457894693594426,0.14580868016928433,0.00011246975929550945,3.3408641815185547,NVIDIA L40S,0.88
s2,13,manyup_oe_base_s2_ps16_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,16,4,64,16,230,1262.6336179946109,0.7919953862691056,0.18215893884189427,0.18218372515402734,7.918202002638326e-05,5.460187911987305,NVIDIA L40S,0.88
s2,13,manyup_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,8,8,8,1,230,1133.949998614937,0.8818730995382952,0.2028308128938079,0.2028752388432622,0.0004214674368539815,11.395002365112305,NVIDIA L40S,0.88
s2,13,manyup_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,8,8,16,2,230,1123.035115201128,0.890444106746303,0.2048021445516497,0.2048708326648921,0.000436828881565441,11.416059494018555,NVIDIA L40S,0.88
s2,13,manyup_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,8,8,32,4,230,1062.2220329798683,0.9414227618633405,0.21652723522856832,0.21637999792583287,0.0004804488801929345,11.500288009643555,NVIDIA L40S,0.88
s2,13,manyup_oe_base_s2_ps8_tile64_to_oe_base_s2_ps4_tile64_ep31.pth,8,8,64,8,230,888.3571116557537,1.1256734334418308,0.25890488969162107,0.25885006808675826,0.0002734794341253709,11.837202072143555,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps16_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,16,4,8,2,230,1709.8717540550344,0.5848391831892987,0.13451301213353872,0.13453141204081476,8.911062025814482e-05,3.196983814239502,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps16_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,16,4,16,4,230,1691.2844460067997,0.5912665976211429,0.13599131745286286,0.13599672028794885,3.70434349692274e-05,3.2178120613098145,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps16_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,16,4,32,8,230,1580.0528673704114,0.6328902156699611,0.14556474960409105,0.14559773006476462,6.766617415293011e-05,3.3020405769348145,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps16_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,16,4,64,16,230,1263.14625860748,0.7916739595163128,0.18208501068875194,0.1821280984673649,9.783571471631372e-05,5.4217610359191895,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps8_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,8,8,8,1,230,1132.0653068757952,0.8833412647895191,0.2031684909015894,0.2031529810745269,0.0005064764920483073,11.35639238357544,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps8_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,8,8,16,2,230,1123.6175893147656,0.8899825078475735,0.2046959768049419,0.20460410811938345,0.00029490183244680097,11.37744951248169,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps8_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,8,8,32,4,230,1062.1308828033452,0.9415035530843813,0.2165458172094077,0.21645739632658662,0.000503027656118732,11.46167802810669,NVIDIA L40S,0.88
s1,2,manyup_oe_base_s1_ps8_tile64_to_oe_base_s1_ps4_tile64_ep31.pth,8,8,64,8,230,888.4920080868724,1.1255025266386245,0.2588655811268836,0.2589897319674492,0.0004267011006365089,11.79859209060669,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps16_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,16,4,8,2,230,1704.188577695396,0.5867895214696941,0.13496158993802965,0.13496533636935054,4.8948646332878724e-05,3.242384910583496,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps16_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,16,4,16,4,230,1685.1756832781798,0.5934099393451344,0.1364842860493809,0.13648363510146738,9.217748697790045e-05,3.263258934020996,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps16_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,16,4,32,8,230,1576.5531230957204,0.6342951501922115,0.14588788454420865,0.14589778026565908,0.0001215081522917652,3.347487449645996,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps16_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,16,4,64,16,230,1260.560803009416,0.7932977113143905,0.18245847360230982,0.18248888538219035,9.972317202348744e-05,5.467207908630371,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps8_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,8,8,8,1,230,1133.2974084401667,0.8823809112705614,0.20294760959222913,0.2029146768618375,0.0004931832049355529,11.402022361755371,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps8_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,8,8,16,2,230,1120.141662730625,0.8927442244780452,0.2053311716299504,0.20528934500180185,0.0005486732656528574,11.423079490661621,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps8_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,8,8,32,4,230,1063.2143035631743,0.9405441561956768,0.21632515592500567,0.21654239492490887,0.0005230123608465738,11.507308006286621,NVIDIA L40S,0.88
s2s1,15,manyup_oe_base_s2s1_ps8_tile64_to_oe_base_s2s1_ps4_tile64_ep31.pth,8,8,64,8,230,886.9514762494709,1.1274573939811925,0.25931520061567426,0.2593103049788624,0.00021552954128727138,11.844222068786621,NVIDIA L40S,0.88
