arm,modalities,image_size,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,n_batches,samples_per_s,ms_per_sample,samples_per_s_median,step_s_mean,step_s_median,step_s_std,peak_mem_gb,gflops_per_sample,gmacs_per_sample,tflops_per_s,gpu,model_size
s1,sentinel1,64,16,16,4,16,12,2048,5,2239.240896020245,0.4465799109766522,2240.161905772516,0.9145956576801837,0.9142196350730956,0.0013863895559133542,1.2090492248535156,32.737591296,16.368795648,73.30735326719963,NVIDIA L40S,base
s1,sentinel1,64,16,64,4,1,192,2048,5,2359.121293041214,0.4238866407376918,2358.5532058859844,0.8681198402307928,0.8683289377950132,0.0004737831386246022,11.972232818603516,34.011611136,17.005805568,80.23751604157526,NVIDIA L40S,base
s1,sentinel1,64,8,16,8,16,48,2048,5,594.0308556022738,1.6834142377774697,593.8515847650627,3.447632358968258,3.448673123959452,0.006067363506303156,3.5303382873535156,131.969581056,65.984790528,78.39400314816932,NVIDIA L40S,base
s1,sentinel1,64,8,64,8,1,768,1024,5,576.1376276877314,1.7356963890961197,576.0654878613844,1.7773531024344265,1.7775756777264178,0.004549553286636265,21.350727081298828,152.353898496,76.176949248,87.77681364846288,NVIDIA L40S,base
s1,sentinel1,64,4,16,16,16,192,2048,5,147.77509298709467,6.767040235172317,147.78910268974067,13.858898401632905,13.85758464410901,0.016079512727469387,12.817935943603516,544.185778176,272.092889088,80.41710397221286,NVIDIA L40S,base
s1,sentinel1,64,4,64,16,1,3072,256,5,121.19547948366154,8.251132833174779,121.19408170252636,2.1122900052927434,2.1123143672011793,0.0035330577026632176,20.788009643554688,870.334857216,435.167428608,105.48065033163722,NVIDIA L40S,base
s1,sentinel1,64,2,16,32,16,768,1024,5,35.98221762873393,27.791505524146487,35.98004402436483,28.458501656726003,28.460220874287188,0.008264386360456432,25.150531768798828,2437.662375936,1218.831187968,87.71249811630577,NVIDIA L40S,base
s1,sentinel1,64,2,64,32,1,12288,64,5,18.314818851383002,54.6005946394871,18.30988769447484,3.4944380569271742,3.4953791671432555,0.013186009180196667,20.647330284118652,7656.047640576,3828.023820288,140.21912565470768,NVIDIA L40S,base
s1,sentinel1,64,1,16,64,16,3072,256,5,7.604462235944144,131.50173792346322,7.600432312148977,33.66444490840659,33.682294570375234,0.06424112455924888,25.115280151367188,13925.357715456,6962.678857728,105.89485686919856,NVIDIA L40S,base
s1,sentinel1,64,1,64,64,1,49152,16,5,1.777486491254323,562.592179980129,1.7774642607676598,9.001474879682064,9.001587459817529,0.023387330761539014,20.61228322982788,97419.521949696,48709.760974848,173.1618842500386,NVIDIA L40S,base
s1,sentinel1,128,16,16,8,64,12,2048,5,557.3594473106431,1.7941743067694915,557.5927283869476,3.6744689802639185,3.6729316860437393,0.003592963208766941,1.2090492248535156,130.950365184,65.475182592,72.98642316408113,NVIDIA L40S,base
s1,sentinel1,128,16,64,8,4,192,2048,5,587.2475666195447,1.7028593336817721,586.998033638645,3.487455915380269,3.488938433583826,0.002349698142524929,14.224185943603516,136.046444544,68.023222272,79.89294350570485,NVIDIA L40S,base
s1,sentinel1,128,16,128,8,1,768,1024,5,582.2835161148705,1.7173764537801617,582.3539676462133,1.7585934886708856,1.758380739018321,0.0015694526900306488,23.599872589111328,152.353898496,76.176949248,88.71316371005896,NVIDIA L40S,base
s1,sentinel1,128,8,16,16,64,48,2048,5,147.48760755118133,6.780230668891818,147.50629504534285,13.885912409890443,13.884153211023659,0.011819331942103585,3.5303382873535156,527.878324224,263.939162112,77.85551111792456,NVIDIA L40S,base
s1,sentinel1,128,8,64,16,4,768,1024,5,145.34352229995156,6.880251587244857,145.37629195126948,7.045377625338733,7.043789508286864,0.005198367615406698,25.852802276611328,609.415593984,304.707796992,88.57460897415173,NVIDIA L40S,base
s1,sentinel1,128,8,128,16,1,3072,256,5,123.27006253059523,8.1122697552928,123.31841739583541,2.076741057354957,2.0759267383255064,0.0018283862022073145,21.349655151367188,870.334857216,435.167428608,107.28623227157298,NVIDIA L40S,base
s1,sentinel1,128,4,16,32,64,192,2048,5,36.95215968721547,27.062017713296882,36.95448840948319,55.42301227683201,55.4195197429508,0.024554655349765513,12.817935943603516,2176.743112704,1088.371556352,80.43535909868467,NVIDIA L40S,base
s1,sentinel1,128,4,64,32,4,3072,256,5,30.596543435073627,32.683430470569874,30.604428567371677,8.366958200465888,8.36480248067528,0.01581708005079313,25.290084838867188,3481.339428864,1740.669714432,106.51695304747179,NVIDIA L40S,base
s1,sentinel1,128,4,128,32,1,12288,64,5,18.571646541188436,53.84552187024383,18.604994121775437,3.446113399695605,3.4399365880526602,0.013531830332844882,20.787100791931152,7656.047640576,3828.023820288,142.18541068327715,NVIDIA L40S,base
s1,sentinel1,128,2,16,64,64,768,1024,5,9.092639089651994,109.97907099799704,9.092889485195805,112.61856870194897,112.61546746687964,0.008715107689493047,25.149677276611328,9750.649503744,4875.324751872,88.65913682723853,NVIDIA L40S,base
s2,sentinel2_l2a,64,16,16,4,16,12,2048,5,738.2826817219229,1.3544947277750907,738.4043607999927,2.774005202483386,2.773548083845526,0.0038357729681805924,3.1082191467285156,98.835628032,49.417814016,72.96863251313542,NVIDIA L40S,base
s2,sentinel2_l2a,64,16,64,4,1,192,1024,5,744.9797804509901,1.3423183101622271,745.0640411472095,1.3745339496061206,1.3743785009719431,0.0019825700425839332,20.222675323486328,110.301806592,55.150903296,82.17261565825574,NVIDIA L40S,base
s2,sentinel2_l2a,64,8,16,8,16,48,2048,5,193.58278866463442,5.165748499121037,193.4854432290225,10.579452926199883,10.584775608032942,0.02496817484030963,9.653873443603516,404.515454976,202.257727488,78.30722983219744,NVIDIA L40S,base
s2,sentinel2_l2a,64,8,64,8,1,768,512,5,171.36918749954629,5.835354736700538,171.24033130113807,2.987701625190675,2.989949833136052,0.0036858000794463626,33.072872161865234,587.974311936,293.987155968,100.7606801070771,NVIDIA L40S,base
s2,sentinel2_l2a,64,4,16,16,16,192,2048,5,48.764722362574716,20.50662756910242,48.751310260205564,41.99757326152176,42.00912732537836,0.08267684933549622,35.819889068603516,1764.828905472,882.414452736,86.06139159278871,NVIDIA L40S,base
s2,sentinel2_l2a,64,4,64,16,1,3072,128,5,27.980499259980988,35.7391764424392,27.97886064864415,4.574614584632218,4.574882501736283,0.011408118016144537,31.314950942993164,4700.170616832,2350.085308416,131.51312046605216,NVIDIA L40S,base
s2,sentinel2_l2a,64,2,16,32,16,768,512,5,10.691776436178714,93.52982696273102,10.674303785525675,47.88727140491828,47.96565755363554,0.1663663946212816,35.380001068115234,9407.588990976,4703.794495488,100.58383829497149,NVIDIA L40S,base
s2,sentinel2_l2a,64,2,64,32,1,12288,32,5,2.9619247112676756,337.6183048123494,2.957147122741417,10.80378575399518,10.821240429300815,0.03662799037560908,30.875471115112305,56373.056372736,28186.528186368,166.97274872009248,NVIDIA L40S,base
s2,sentinel2_l2a,64,1,16,64,16,3072,128,5,1.7422027112889533,573.9860198358656,1.7420530572221131,73.4702105389908,73.47652212390676,0.03591274106947387,35.270517349243164,75202.729869312,37601.364934656,131.01839987464612,NVIDIA L40S,base
s2,sentinel2_l2a,64,1,64,64,1,49152,8,5,0.22506066758074766,4443.246395513415,0.22445871167955886,35.54597116410732,35.64129874994978,0.17088630500269483,30.766089916229248,826650.207977472,413325.103988736,186.04644766317375,NVIDIA L40S,base
s2,sentinel2_l2a,128,16,16,8,64,12,2048,5,183.7688569146988,5.4416184373621945,183.95075984788298,11.144434559717775,11.133414190262556,0.01955601672134075,3.1082191467285156,395.342512128,197.671256064,72.651641543548,NVIDIA L40S,base
s2,sentinel2_l2a,128,16,64,8,4,192,1024,5,189.11858880761247,5.287687510281103,189.14375012749275,5.4145920105278496,5.4138717208988965,0.0028827022752604594,22.474872589111328,441.207226368,220.603613184,83.44048802243698,NVIDIA L40S,base
s2,sentinel2_l2a,128,16,128,8,1,768,256,5,169.54007391035654,5.898310511111049,169.36171317649487,1.5099674908444285,1.511557690333575,0.003553664526176856,20.222457885742188,587.974311936,293.987155968,99.68520830302047,NVIDIA L40S,base
s2,sentinel2_l2a,128,8,16,16,64,48,2048,5,49.30848201944873,20.280486420278976,49.34242463028075,41.53443618873134,41.50586468633264,0.0661800543430365,9.653873443603516,1618.061819904,809.030909952,79.78417215309287,NVIDIA L40S,base
s2,sentinel2_l2a,128,8,64,16,4,768,512,5,43.44437832708569,23.01793784390611,43.45070144362604,11.785184176079929,11.783469149842858,0.004773184576956405,37.577266693115234,2351.897247744,1175.948623872,102.17671381742191,NVIDIA L40S,base
s2,sentinel2_l2a,128,8,128,16,1,3072,128,5,28.83997206596447,34.67409738514107,28.840068520034023,4.438284465298056,4.438269621692598,0.00657725193825756,33.072763442993164,4700.170616832,2350.085308416,135.55278929470188,NVIDIA L40S,base
s2,sentinel2_l2a,128,4,16,32,64,192,2048,5,12.444804297132725,80.35481925821841,12.43893941461977,164.5666698408313,164.64426200138405,0.19456429414982251,35.819889068603516,7059.315621888,3529.657810944,87.85180138608797,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,16,16,4,16,12,2048,5,568.7799240544289,1.7581492554654687,568.8460621875505,3.60068967519328,3.6002710331231356,0.0036175434259983247,3.9054603576660156,132.082827264,66.041413632,75.12606046011217,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,16,64,4,1,192,1024,5,570.675094186917,1.7523105707368813,570.9861351452915,1.7943660244345665,1.79338855529204,0.001806417689602319,26.037372589111328,152.467144704,76.233572352,87.0092021643655,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,8,16,8,16,48,2048,5,149.02421882924511,6.710318684145022,148.98278845270517,13.742732665129006,13.74655435886234,0.01663014460161726,12.560855865478516,544.638763008,272.319381504,81.16436620139356,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,8,64,8,1,768,256,5,122.10787023258597,8.189480318469577,123.6294121154442,2.096506961528212,2.0707046617753804,0.05284931548510573,21.959030151367188,870.787842048,435.393921024,106.33004881691075,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,4,16,16,16,192,1024,5,36.626045867144704,27.302974599751906,36.60282814701445,27.95824599014595,27.975980322808027,0.05215219573224602,23.755146026611328,2439.474315264,1219.737157632,89.34829816258068,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,4,64,16,1,3072,64,5,18.71852998764158,53.42299852927681,18.727542172778843,3.419071905873716,3.417426558677107,0.006309296969519735,20.939444541931152,7657.859579904,3828.929789952,143.34387418758138,NVIDIA L40S,base
