arm,modalities,image_size,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,n_batches,samples_per_s,ms_per_sample,samples_per_s_median,step_s_mean,step_s_median,step_s_std,peak_mem_gb,gflops_per_sample,gmacs_per_sample,tflops_per_s,gpu,model_size
s2,sentinel2_l2a,128,16,16,8,64,12,2048,5,183.7688569146988,5.4416184373621945,183.95075984788298,11.144434559717775,11.133414190262556,0.01955601672134075,3.1082191467285156,395.342512128,197.671256064,72.651641543548,NVIDIA L40S,base
s2,sentinel2_l2a,128,8,16,16,64,48,2048,5,49.30848201944873,20.280486420278976,49.34242463028075,41.53443618873134,41.50586468633264,0.0661800543430365,9.653873443603516,1618.061819904,809.030909952,79.78417215309287,NVIDIA L40S,base
s2,sentinel2_l2a,128,16,64,8,4,192,1024,5,189.11858880761247,5.287687510281103,189.14375012749275,5.4145920105278496,5.4138717208988965,0.0028827022752604594,22.474872589111328,441.207226368,220.603613184,83.44048802243698,NVIDIA L40S,base
s2,sentinel2_l2a,128,16,128,8,1,768,256,5,169.54007391035654,5.898310511111049,169.36171317649487,1.5099674908444285,1.511557690333575,0.003553664526176856,20.222457885742188,587.974311936,293.987155968,99.68520830302047,NVIDIA L40S,base
s2,sentinel2_l2a,128,4,16,32,64,192,2048,5,12.444804297132725,80.35481925821841,12.43893941461977,164.5666698408313,164.64426200138405,0.19456429414982251,35.819889068603516,7059.315621888,3529.657810944,87.85180138608797,NVIDIA L40S,base
s2,sentinel2_l2a,128,8,64,16,4,768,512,5,43.44437832708569,23.01793784390611,43.45070144362604,11.785184176079929,11.783469149842858,0.004773184576956405,37.577266693115234,2351.897247744,1175.948623872,102.17671381742191,NVIDIA L40S,base
s2,sentinel2_l2a,128,8,128,16,1,3072,128,5,28.83997206596447,34.67409738514107,28.840068520034023,4.438284465298056,4.438269621692598,0.00657725193825756,33.072763442993164,4700.170616832,2350.085308416,135.55278929470188,NVIDIA L40S,base
s2,sentinel2_l2a,128,2,16,64,64,768,512,5,2.7235779162625984,367.164087367928,2.722677477089469,187.98801273237913,188.05018380191177,0.08797956535899355,35.380855560302734,37630.355963904,18815.177981952,102.4892064843895,NVIDIA L40S,base
s2,sentinel2_l2a,128,4,64,32,4,3072,128,5,7.204043895424446,138.81092543524574,7.222132194298202,17.767798455711453,17.72329785116017,0.06989899764252737,35.819345474243164,18800.682467328,9400.341233664,135.44094175856767,NVIDIA L40S,base
s2,sentinel2_l2a,128,4,128,32,1,12288,32,5,3.080897641274505,324.5807282277383,3.0854010924899393,10.386583303287626,10.371423047035933,0.04469576735391027,31.314924240112305,56373.056372736,28186.528186368,173.67961641019704,NVIDIA L40S,base
s2,sentinel2_l2a,128,1,16,128,64,3072,128,5,0.4495250860391336,2224.569954062463,0.44990912085675994,284.7449541199952,284.50190064217895,0.3803082305101479,35.270029067993164,300810.919477248,150405.459738624,135.2220544595208,NVIDIA L40S,base
s2,sentinel2_l2a,128,2,64,64,4,12288,32,5,0.7725733028229489,1294.375558081083,0.7723329035062813,41.420017858594655,41.432910413015634,0.1254948504243515,35.380720138549805,225492.225490944,112746.112745472,174.20927340843576,NVIDIA L40S,base
s2,sentinel2_l2a,128,2,128,64,1,49152,8,5,0.23448588310570298,4264.649055863265,0.23433230187750304,34.11719244690612,34.13955283118412,0.11993218808186976,30.876319408416748,826650.207977472,413325.103988736,193.83780403711057,NVIDIA L40S,base
s2,sentinel2_l2a,128,1,64,128,4,49152,8,5,0.058525936204015055,17086.44175317604,0.05850516908004863,136.69153402540832,136.74005435407162,0.27037407716033124,35.26999616622925,3306600.831909888,1653300.415954944,193.52190934050122,NVIDIA L40S,base
s2,sentinel2_l2a,128,1,128,128,1,196608,2,5,0.014056093889561427,71143.52023093961,0.014065389111869449,142.28704046187923,142.19300895929337,0.6566624774026768,30.765600204467773,12925128.551694335,6462564.275847168,181.6768204572667,NVIDIA L40S,base
