arm,modalities,image_size,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,n_batches,samples_per_s,ms_per_sample,samples_per_s_median,step_s_mean,step_s_median,step_s_std,peak_mem_gb,gflops_per_sample,gmacs_per_sample,tflops_per_s,gpu,model_size
s2s1,sentinel2_l2a+sentinel1,64,16,16,4,16,12,2048,5,568.7799240544289,1.7581492554654687,568.8460621875505,3.60068967519328,3.6002710331231356,0.0036175434259983247,3.9054603576660156,132.082827264,66.041413632,75.12606046011217,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,8,16,8,16,48,2048,5,149.02421882924511,6.710318684145022,148.98278845270517,13.742732665129006,13.74655435886234,0.01663014460161726,12.560855865478516,544.638763008,272.319381504,81.16436620139356,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,16,64,4,1,192,1024,5,570.675094186917,1.7523105707368813,570.9861351452915,1.7943660244345665,1.79338855529204,0.001806417689602319,26.037372589111328,152.467144704,76.233572352,87.0092021643655,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,4,16,16,16,192,1024,5,36.626045867144704,27.302974599751906,36.60282814701445,27.95824599014595,27.975980322808027,0.05215219573224602,23.755146026611328,2439.474315264,1219.737157632,89.34829816258068,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,8,64,8,1,768,256,5,122.10787023258597,8.189480318469577,123.6294121154442,2.096506961528212,2.0707046617753804,0.05284931548510573,21.959030151367188,870.787842048,435.393921024,106.33004881691075,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,2,16,32,16,768,256,5,7.756514135423701,128.9238932000444,7.767759525201543,33.00451665921137,32.956736002117395,0.09326293498890777,23.501144409179688,13932.605472768,6966.302736384,108.06845129280661,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,4,64,16,1,3072,64,5,18.71852998764158,53.42299852927681,18.727542172778843,3.419071905873716,3.417426558677107,0.006309296969519735,20.939444541931152,7657.859579904,3828.929789952,143.34387418758138,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,1,16,64,16,3072,64,5,1.175773238488362,850.5041340162279,1.1790509084683567,54.43226457703859,54.2809471078217,0.30664753523120153,23.437369346618652,122525.753278464,61262.876639232,144.06250173044563,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,2,64,32,1,12288,16,5,1.8444035230575826,542.1807036793325,1.8440182285395632,8.67489125886932,8.676703815814108,0.003484596611080231,20.68564748764038,97426.769707008,48713.384853504,179.6942772877253,NVIDIA L40S,base
s2s1,sentinel2_l2a+sentinel1,64,1,64,64,1,49152,4,5,0.13311726602472243,7512.173513346352,0.13260816890827287,30.048694053385407,30.164054242894053,0.16396358681815268,20.62277841567993,1458432.381026304,729216.190513152,194.14253124414785,NVIDIA L40S,base
