arm,modalities,image_size,patch_size,tile_size,grid,tiles_per_sample,tokens_per_tile,batch_size,n_batches,samples_per_s,ms_per_sample,samples_per_s_median,step_s_mean,step_s_median,step_s_std,peak_mem_gb,gflops_per_sample,gmacs_per_sample,tflops_per_s,gpu,model_size
s2,sentinel2_l2a,64,16,16,4,16,12,2048,5,738.2826817219229,1.3544947277750907,738.4043607999927,2.774005202483386,2.773548083845526,0.0038357729681805924,3.1082191467285156,98.835628032,49.417814016,72.96863251313542,NVIDIA L40S,base
s2,sentinel2_l2a,64,8,16,8,16,48,2048,5,193.58278866463442,5.165748499121037,193.4854432290225,10.579452926199883,10.584775608032942,0.02496817484030963,9.653873443603516,404.515454976,202.257727488,78.30722983219744,NVIDIA L40S,base
s2,sentinel2_l2a,64,16,64,4,1,192,1024,5,744.9797804509901,1.3423183101622271,745.0640411472095,1.3745339496061206,1.3743785009719431,0.0019825700425839332,20.222675323486328,110.301806592,55.150903296,82.17261565825574,NVIDIA L40S,base
s2,sentinel2_l2a,64,4,16,16,16,192,2048,5,48.764722362574716,20.50662756910242,48.751310260205564,41.99757326152176,42.00912732537836,0.08267684933549622,35.819889068603516,1764.828905472,882.414452736,86.06139159278871,NVIDIA L40S,base
s2,sentinel2_l2a,64,8,64,8,1,768,512,5,171.36918749954629,5.835354736700538,171.24033130113807,2.987701625190675,2.989949833136052,0.0036858000794463626,33.072872161865234,587.974311936,293.987155968,100.7606801070771,NVIDIA L40S,base
s2,sentinel2_l2a,64,2,16,32,16,768,512,5,10.691776436178714,93.52982696273102,10.674303785525675,47.88727140491828,47.96565755363554,0.1663663946212816,35.380001068115234,9407.588990976,4703.794495488,100.58383829497149,NVIDIA L40S,base
s2,sentinel2_l2a,64,4,64,16,1,3072,128,5,27.980499259980988,35.7391764424392,27.97886064864415,4.574614584632218,4.574882501736283,0.011408118016144537,31.314950942993164,4700.170616832,2350.085308416,131.51312046605216,NVIDIA L40S,base
s2,sentinel2_l2a,64,1,16,64,16,3072,128,5,1.7422027112889533,573.9860198358656,1.7420530572221131,73.4702105389908,73.47652212390676,0.03591274106947387,35.270517349243164,75202.729869312,37601.364934656,131.01839987464612,NVIDIA L40S,base
s2,sentinel2_l2a,64,2,64,32,1,12288,32,5,2.9619247112676756,337.6183048123494,2.957147122741417,10.80378575399518,10.821240429300815,0.03662799037560908,30.875471115112305,56373.056372736,28186.528186368,166.97274872009248,NVIDIA L40S,base
s2,sentinel2_l2a,64,1,64,64,1,49152,8,5,0.22506066758074766,4443.246395513415,0.22445871167955886,35.54597116410732,35.64129874994978,0.17088630500269483,30.766089916229248,826650.207977472,413325.103988736,186.04644766317375,NVIDIA L40S,base
