features,head,weighted_ce,tile_size,patch_size,input_res,epochs,lr,seed,miou_NF_FO,iou_FU,overall_acc,macro_f1,NF_iou,NF_precision,NF_recall,NF_f1,FO_iou,FO_precision,FO_recall,FO_f1,FU_iou,FU_precision,FU_recall,FU_f1
usf_base_s1_ps2_res20_t16,concat,True,16,2,20,15,0.001,0,0.8099,0.1434,0.8725,0.6802,0.7964,0.9443,0.8357,0.8867,0.8234,0.8817,0.9257,0.9031,0.1434,0.1444,0.9511,0.2508
usf_base_s1_ps2_res20_t16,diff,True,16,2,20,15,0.001,0,0.7837,0.1068,0.8481,0.65,0.7602,0.9337,0.8035,0.8637,0.8072,0.8743,0.9132,0.8933,0.1068,0.1078,0.917,0.193
usf_base_s1_ps4_res20_t16,concat,True,16,4,20,15,0.001,0,0.8044,0.1445,0.8695,0.6785,0.7924,0.9406,0.8342,0.8842,0.8163,0.8782,0.9206,0.8989,0.1445,0.1456,0.95,0.2524
usf_base_s1_ps4_res20_t16,diff,True,16,4,20,15,0.001,0,0.7818,0.114,0.8494,0.6531,0.7627,0.9312,0.8083,0.8654,0.8009,0.8704,0.9093,0.8894,0.114,0.1151,0.9184,0.2046
usf_base_s1_ps2_res20_t32,concat,True,32,2,20,15,0.001,0,0.8076,0.0733,0.8648,0.6413,0.8173,0.9775,0.8329,0.8994,0.798,0.8345,0.948,0.8877,0.0733,0.0736,0.9522,0.1367
usf_base_s1_ps2_res20_t32,diff,True,32,2,20,15,0.001,0,0.7833,0.0544,0.839,0.62,0.7838,0.9709,0.8026,0.8788,0.7829,0.8283,0.9346,0.8782,0.0544,0.0547,0.8981,0.1031
usf_base_s1_ps4_res20_t32,concat,True,32,4,20,15,0.001,0,0.8061,0.0756,0.8659,0.6419,0.819,0.975,0.8366,0.9005,0.7932,0.8339,0.942,0.8847,0.0756,0.0759,0.9476,0.1405
usf_base_s1_ps4_res20_t32,diff,True,32,4,20,15,0.001,0,0.7803,0.0566,0.8401,0.6201,0.7856,0.9695,0.8055,0.8799,0.7751,0.8222,0.9312,0.8733,0.0566,0.057,0.8958,0.1072
usf_base_s1_ps8_res20_t32,concat,True,32,8,20,15,0.001,0,0.7875,0.0713,0.8548,0.6317,0.8049,0.9706,0.825,0.8919,0.7701,0.8154,0.9328,0.8701,0.0713,0.0718,0.9199,0.1331
usf_base_s1_ps8_res20_t32,diff,True,32,8,20,15,0.001,0,0.7588,0.0512,0.8246,0.6077,0.7659,0.9646,0.788,0.8674,0.7517,0.8036,0.9209,0.8583,0.0512,0.0516,0.8674,0.0975
usf_base_s1_ps4_res20_t64,concat,True,64,4,20,15,0.001,0,0.78,0.0342,0.8451,0.6061,0.8135,0.9892,0.8207,0.8971,0.7466,0.7723,0.9573,0.8549,0.0342,0.0343,0.9286,0.0661
usf_base_s1_ps4_res20_t64,diff,True,64,4,20,15,0.001,0,0.7599,0.0271,0.8238,0.5931,0.7886,0.9861,0.7974,0.8818,0.7311,0.7629,0.9461,0.8447,0.0271,0.0272,0.8615,0.0527
usf_base_s1_ps8_res20_t64,concat,True,64,8,20,15,0.001,0,0.7615,0.032,0.834,0.5967,0.8004,0.9873,0.8088,0.8892,0.7226,0.7509,0.9504,0.839,0.032,0.0321,0.9044,0.062
usf_base_s1_ps8_res20_t64,diff,True,64,8,20,15,0.001,0,0.7385,0.0244,0.8081,0.582,0.7703,0.9836,0.7803,0.8703,0.7067,0.7419,0.9371,0.8281,0.0244,0.0246,0.8337,0.0477
usf_base_s1_ps4_res20_t64,concat,True,64,4,20,1,0.001,0,0.7488,0.0299,0.8199,0.59,0.7834,0.9878,0.791,0.8785,0.7142,0.7407,0.9522,0.8333,0.0299,0.03,0.938,0.0581
